path,label
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202860_det707_419_60463.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202860_det710_416_60010.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202860_det710_417_60845.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202860_det710_419_60955.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202860_det711_416_60721.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202860_det711_418_60361.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202860_det711_418_60597.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202860_det711_420_60250.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202860_det713_419_60139.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202861_det716_419_61087.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202861_det718_421_61221.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202861_det720_424_61952.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202861_det722_424_61345.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202861_det723_425_61595.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202861_det723_425_61827.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202861_det724_424_61475.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202861_det724_426_61706.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202862_det714_414_62916.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202862_det715_416_62542.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202862_det716_414_62793.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202862_det717_414_62658.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202862_det720_418_62427.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202862_det720_419_62202.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202862_det721_419_62316.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202862_det722_421_62080.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202863_det716_414_63034.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202863_det720_416_63139.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202863_det720_416_63259.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202863_det721_419_63958.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202863_det722_418_63719.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202863_det722_418_63839.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202863_det723_418_63379.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202863_det725_418_63613.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202863_det726_419_63496.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202864_det724_419_64089.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202864_det728_418_64378.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202864_det728_421_64220.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202864_det734_415_64563.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202864_det746_396_64710.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202864_det787_401_64837.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202864_det806_386_64985.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202865_det750_397_65649.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202865_det764_430_65776.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202865_det783_414_65499.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202865_det790_416_65381.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202865_det802_413_65233.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202865_det816_401_65106.png,10
C:\Users\Minko\Desktop\DP\VisionPilot-XR\dataset\10 resize_64_fs0.9_is0.75\frame1765202866_det828_407_66068.png,10
